,ID,NAME,CREATION_DATE,CITY,STREET,EMAIL,PHONE_NUMBER,Opening,Closing
32,32,National Association Of Photo Engravers,2017-04-24 01:04:20,San Francisco,Loyola Terrace,national_association_of_photo_engravers@mail.com,0497-606847,12:00,20:00
33,33,Tower Restaurant And Cafe,2017-04-24 05:24:03,San Francisco,Sunview Dr,tower_restaurant_and_cafe@yahoo.com,0496-446296,12:00,23:00
34,34,The Lyric Theatre,2017-04-25 03:03:08,New York,E 17th St,the_lyric_theatre@inbox.com,0498-370890,08:00,21:00
35,35,The Colony,2017-04-26 01:26:39,New York,W 106th St,the_colony@yahoo.com,0499-485401,08:00,12:00
36,36,Friends Of H.Anthony Dyer,2017-04-26 18:19:18,San Francisco,Clover St,friends_of_hanthony_dyer@gmail.com,0495-277891,12:00,23:00
37,37,St. Johns Lodge No. 1,2017-04-26 19:47:44,New York,W 79th St,st_johns_lodge_no_1@gmail.com,0496-925897,08:00,12:00
38,38,Alpha Deuteron Phi Gamma Delta,2017-04-27 10:43:12,New York,3rd Pl,alpha_deuteron_phi_gamma_delta@outlook.com,0494-756169,12:00,23:00
39,39,Long Island Business College Hall,2017-04-27 22:10:59,San Francisco,Forest Knolls Dr,long_island_business_college_hall@gmail.com,0496-359481,12:00,23:00
40,40,Ocean House,2017-04-28 12:25:26,New York,W 98th St,ocean_house@mail.com,0499-857831,12:00,23:00
41,41,Bert Hough & Tony Franker   Pabst Blue Ribbon,2017-04-28 14:52:47,San Francisco,S Hughes Ln - Golden Gate National Recreation Area,bert_hough_&_tony_franker___pabst_blue_ribbon@gmail.com,0498-587830,12:00,23:00
42,42,Cigar Leaf Tobacco Board Of Trade Of The United States,2017-04-28 16:06:44,New York,Bradhurst Ave,cigar_leaf_tobacco_board_of_trade_of_the_united_states@mail.com,0498-516439,13:00,23:00
43,43,Paquebot Ile De France,2017-04-29 20:52:25,New York,W 46th St,paquebot_ile_de_france@hotmail.com,0497-003833,13:00,23:00
44,44,Blue Horizon,2017-04-30 01:25:13,New York,Minetta Ln,blue_horizon@yahoo.com,0499-771130,08:00,12:00
45,45,U.S.Government,2017-04-30 06:32:35,San Francisco,Reservoir Rd,usgovernment@gmail.com,0499-531905,12:00,23:00
46,46,Sons Of Delaware,2017-04-30 18:54:43,San Francisco,Glen Ct,sons_of_delaware@hotmail.com,0499-679840,12:00,20:00
47,47,Green Mountain Restaurant Diner,2017-05-01 06:49:05,San Francisco,Lathrop Ave,green_mountain_restaurant_diner@gmail.com,0498-209718,08:00,12:00
48,48,Wally J,2017-05-01 20:57:35,San Francisco,Spruce St,wally_j@gmail.com,0498-137288,13:00,23:00
49,49,Merchants Club   The Salvation Army,2017-05-02 03:51:47,San Francisco,Horace St,merchants_club___the_salvation_army@aol.com,0498-417586,13:00,23:00
50,50,Sullivans,2017-05-02 13:08:26,San Francisco,Cleo Rand Ln,sullivans@inbox.com,0496-197092,08:00,12:00
51,51,Northern Steamship Company/Great Orthern Ry. Line,2017-05-02 15:06:36,San Francisco,Morris St,northern_steamship_company/great_orthern_ry_line@hotmail.com,0498-169919,08:00,12:00
52,52,The Berkeley,2017-05-03 16:40:06,New York,E 8th St,the_berkeley@mail.com,0497-915938,08:00,12:00
53,53,Sherrys,2017-05-04 19:26:47,New York,E 34th St,sherrys@outlook.com,0494-019956,08:00,21:00
54,54,Medical Society Of The State Of New York,2017-05-07 08:47:37,San Francisco,Tapia Dr,medical_society_of_the_state_of_new_york@outlook.com,0497-233506,08:00,21:00
55,55,Hamburg  Armerika Linie,2017-05-07 15:21:05,San Francisco,Monument Way,hamburg__armerika_linie@gmail.com,0499-110587,13:00,23:00
56,56,Saratogy Racing Association,2017-05-07 23:03:35,San Francisco,Jason Ct,saratogy_racing_association@outlook.com,0494-179301,12:00,20:00
57,57,Geneva Society International Society Of Hotel Employees,2017-05-07 23:14:11,San Francisco,Minnesota St,geneva_society_international_society_of_hotel_employees@outlook.com,0494-817642,08:00,21:00
58,58,Hotel Dreyfus French Restauranr,2017-05-08 14:48:44,New York,Arden St,hotel_dreyfus_french_restauranr@hotmail.com,0497-831105,13:00,23:00
59,59,Harrys Bar,2017-05-08 15:25:39,San Francisco,Cameo Way,harrys_bar@aol.com,0497-835799,08:00,12:00
60,60,Cercle Francais De Lharmonie,2017-05-08 21:27:03,San Francisco,Mcrae Ln - Golden Gate National Recreation Area,cercle_francais_de_lharmonie@inbox.com,0494-211372,08:00,12:00
61,61,"New Hotel Berkeley,The",2017-05-09 00:23:11,San Francisco,Conservatory Access Rd,"new_hotel_berkeley,the@inbox.com",0498-146795,13:00,23:00
62,62,Hotel Cecil,2017-05-10 00:08:25,New York,W 94th St,hotel_cecil@gmail.com,0499-726854,08:00,21:00
63,63,The Hannaberry & Moran Dining Room,2017-05-10 05:24:29,San Francisco,Stow Lake Dr,the_hannaberry_&_moran_dining_room@aol.com,0499-250058,08:00,12:00
64,64,Leon & Eddies,2017-05-10 17:33:51,New York,Marginal St,leon_&_eddies@gmail.com,0495-181886,13:00,23:00
65,65,The Homestead Gwinn,2017-05-11 02:35:42,San Francisco,Hwy 82,the_homestead_gwinn@outlook.com,0494-985549,13:00,23:00
66,66,French Circle,2017-05-11 12:17:24,San Francisco,Lomita Ave,french_circle@hotmail.com,0495-007887,08:00,12:00
67,67,Manhanset House,2017-05-12 02:35:07,New York,Rose St,manhanset_house@aol.com,0496-352756,08:00,12:00
68,68,Cigar Manufacturers,2017-05-12 12:59:32,San Francisco,Minna St,cigar_manufacturers@yahoo.com,0496-049406,08:00,12:00
69,69,Kronenhalle,2017-05-13 05:35:39,New York,E 117th St,kronenhalle@outlook.com,0499-590224,13:00,23:00
70,70,Winthrop Hotel,2017-05-13 10:36:41,San Francisco,Incinerator Rd,winthrop_hotel@hotmail.com,0498-308091,12:00,23:00
71,71,Lafayette Hotel,2017-05-13 22:45:58,San Francisco,Alma St,lafayette_hotel@yahoo.com,0494-673468,12:00,20:00
72,72,Los Angeles Consistory #3,2017-05-14 01:44:45,New York,W 82nd St,los_angeles_consistory_#3@yahoo.com,0498-321326,12:00,23:00
73,73,Hotel Ponce De Leon,2017-05-14 05:46:11,San Francisco,Dodge Pl,hotel_ponce_de_leon@outlook.com,0496-508045,13:00,23:00
74,74,La Vicomtesse Parker,2017-05-14 09:22:33,San Francisco,Terra Vista Ave,la_vicomtesse_parker@aol.com,0496-009626,13:00,23:00
75,75,Ritz-Carlton,2017-05-14 18:28:34,New York,W 90th St,ritz-carlton@gmail.com,0498-293424,13:00,23:00
76,76,Canadian Pacific Railway Co.   S.S. Alberta,2017-05-15 09:47:03,New York,Dyer Ave,canadian_pacific_railway_co___ss_alberta@aol.com,0495-668133,08:00,21:00
77,77,The Essex Hotel The Colonnades,2017-05-16 01:17:58,San Francisco,King St,the_essex_hotel_the_colonnades@outlook.com,0496-311243,08:00,21:00
78,78,Amity Hall Inn,2017-05-16 05:04:21,San Francisco,Haight St,amity_hall_inn@inbox.com,0497-081463,12:00,23:00
79,79,Gardner & Smith,2017-05-17 02:30:15,San Francisco,Santa Cruz Ave,gardner_&_smith@hotmail.com,0497-126104,08:00,12:00
80,80,The Scandia,2017-05-17 14:28:41,San Francisco,Foote Ave,the_scandia@gmail.com,0494-664925,13:00,23:00
81,81,Essex House At The Colonnades,2017-05-17 16:49:13,San Francisco,Clipper Cove Way,essex_house_at_the_colonnades@yahoo.com,0496-262728,12:00,20:00
82,82,The French Village,2017-05-18 20:22:46,San Francisco,Diaz Ave,the_french_village@gmail.com,0497-268817,12:00,20:00
83,83,Norge Hotel,2017-05-19 07:55:31,New York,Riverside Dr,norge_hotel@hotmail.com,0497-550012,12:00,23:00
84,84,Au Chat Noir,2017-05-19 10:57:39,San Francisco,Beacon St,au_chat_noir@hotmail.com,0495-777151,12:00,23:00
85,85,Don Roths Blackhawk Restaurant,2017-05-20 00:18:31,San Francisco,De Boom St,don_roths_blackhawk_restaurant@gmail.com,0495-750239,12:00,20:00
86,86,The Hotel Roosevelt,2017-05-20 06:48:49,New York,Stuyvesant St,the_hotel_roosevelt@inbox.com,0497-436123,12:00,23:00
87,87,The Pullman Company,2017-05-20 07:01:00,New York,W 157th St,the_pullman_company@inbox.com,0494-454409,13:00,23:00
88,88,Quill And Dagger Club,2017-05-20 16:17:36,San Francisco,Nottingham Pl,quill_and_dagger_club@inbox.com,0499-486861,08:00,12:00
89,89,New York State Hotel Association,2017-05-21 08:41:08,New York,Avenue A,new_york_state_hotel_association@mail.com,0498-077948,13:00,23:00
90,90,Ristorante Cova,2017-05-23 09:39:24,New York,Warren St,ristorante_cova@aol.com,0495-720584,13:00,23:00
91,91,Society Of Colonial Wars In The State Of New Jersey,2017-05-25 09:39:01,New York,Paladino Ave,society_of_colonial_wars_in_the_state_of_new_jersey@hotmail.com,0496-071272,08:00,21:00
92,92,Patent Law Associaton Of Washington,2017-05-25 10:45:05,San Francisco,Addison St,patent_law_associaton_of_washington@outlook.com,0495-881993,08:00,12:00
93,93,[Restaurant And/Or Location Not Given],2017-05-25 18:15:20,New York,Little West 12th St,[restaurant_and/or_location_not_given]@mail.com,0496-889479,13:00,23:00
94,94,Pear And Pardritge,2017-05-26 04:35:16,New York,E 39th St,pear_and_pardritge@inbox.com,0494-818290,13:00,23:00
95,95,Huguenin,2017-05-27 03:06:38,San Francisco,Iron Alley,huguenin@gmail.com,0495-693633,08:00,12:00
96,96,McKees Restaurant,2017-05-27 07:06:15,San Francisco,Kenwood Way,mckees_restaurant@inbox.com,0495-516587,12:00,23:00
97,97,Elka Park Association,2017-05-27 09:13:53,San Francisco,Wilde Ave,elka_park_association@outlook.com,0496-577049,13:00,23:00
98,98,Ewings New Restaurant,2017-05-27 20:39:12,New York,W 116th St,ewings_new_restaurant@outlook.com,0494-245261,13:00,23:00
99,99,National Republican Club House [?],2017-05-28 05:25:13,New York,Sheriff St,national_republican_club_house_[?]@inbox.com,0494-369190,08:00,12:00
100,100,Kempinski Restaurant,2017-05-28 18:13:07,New York,Amsterdam Ave,kempinski_restaurant@mail.com,0497-742699,13:00,23:00
101,101,Luccionis,2017-05-29 23:16:40,New York,Pomander Walk,luccionis@mail.com,0499-167949,13:00,23:00
102,102,Library Room,2017-05-30 07:49:53,San Francisco,Lincoln Way,library_room@aol.com,0496-312433,12:00,23:00
103,103,Volapukakluba Nolumelopik,2017-05-30 09:20:20,New York,John Jay Byrne Bridge,volapukakluba_nolumelopik@inbox.com,0495-155452,13:00,23:00
104,104,Wells River Fish And Game Club,2017-05-30 09:44:49,San Francisco,Bryant Ln,wells_river_fish_and_game_club@yahoo.com,0498-251750,13:00,23:00
105,105,Broadway Tabernacle Church,2017-05-30 21:40:13,New York,E 52nd St,broadway_tabernacle_church@hotmail.com,0497-404394,08:00,21:00
106,106,The Concord,2017-05-31 08:42:26,New York,Park Pl,the_concord@yahoo.com,0498-089105,12:00,20:00
107,107,Sangamo Club,2017-05-31 22:45:55,San Francisco,Alta St,sangamo_club@inbox.com,0496-311062,13:00,23:00
108,108,Mouquin Restaurant & Wine Co.,2017-06-01 11:18:22,San Francisco,Ophir Alley,mouquin_restaurant_&_wine_co@hotmail.com,0494-803235,08:00,12:00
109,109,Stammhaus,2017-06-02 14:04:47,San Francisco,39th Ave,stammhaus@outlook.com,0495-003335,08:00,12:00
110,110,Hardware And Metal Trades,2017-06-02 23:17:52,San Francisco,Cosmo Pl,hardware_and_metal_trades@mail.com,0497-381236,12:00,20:00
111,111,Pennsylvania Tours To The Golden Gate,2017-06-03 06:10:09,San Francisco,Mansfield St,pennsylvania_tours_to_the_golden_gate@hotmail.com,0499-240382,12:00,23:00
112,112,Taj,2017-06-05 05:37:17,San Francisco,Mcrae Ln - Golden Gate National Recreation Area,taj@gmail.com,0496-945579,08:00,21:00
113,113,Aviation Terrace,2017-06-05 15:21:20,New York,Thelonius Monk Cir,aviation_terrace@mail.com,0499-758005,13:00,23:00
114,114,Mexican American S.S. Co.,2017-06-06 05:35:10,New York,E 118th St,mexican_american_ss_co@aol.com,0494-061867,08:00,21:00
115,115,Quill And Dagger,2017-06-08 06:24:21,San Francisco,J St,quill_and_dagger@gmail.com,0497-508830,08:00,12:00
116,116,Leones,2017-06-08 13:23:37,New York,Cliff St,leones@yahoo.com,0495-793323,12:00,20:00
117,117,The Windsor,2017-06-08 20:26:20,New York,Thelonius Monk Cir,the_windsor@yahoo.com,0497-298521,13:00,23:00
118,118,Dramaten Restaurangen,2017-06-10 01:07:56,San Francisco,Belvedere St,dramaten_restaurangen@inbox.com,0494-988561,12:00,20:00
119,119,Pullman Dining Car Serfvice The President,2017-06-10 12:17:32,San Francisco,Edgardo Pl,pullman_dining_car_serfvice_the_president@hotmail.com,0495-974544,08:00,12:00
120,120,Royal Literary Fund,2017-06-11 05:52:17,San Francisco,Nike Rd,royal_literary_fund@mail.com,0494-481828,12:00,23:00
121,121,Mr. S.M.Felton,2017-06-11 07:23:23,New York,Bank St,mr_smfelton@yahoo.com,0495-955929,12:00,20:00
122,122,Shanes,2017-06-11 23:51:37,San Francisco,Park Presidio Blvd,shanes@inbox.com,0495-418146,13:00,23:00
123,123,Crawfords,2017-06-12 00:52:15,San Francisco,Milton I Ross Ln,crawfords@inbox.com,0494-658590,08:00,12:00
124,124,Streets Of Mexico Restaurant,2017-06-12 11:33:48,New York,Baxter St,streets_of_mexico_restaurant@yahoo.com,0495-089881,12:00,23:00
125,125,Alberg Inn,2017-06-12 12:25:13,San Francisco,Bernice St,alberg_inn@outlook.com,0494-075817,08:00,12:00
126,126,Jack Trayers,2017-06-12 13:17:32,San Francisco,Curtis St,jack_trayers@mail.com,0494-232218,08:00,12:00
127,127,Riggs House,2017-06-14 02:13:53,San Francisco,16th Ave,riggs_house@yahoo.com,0495-706008,08:00,12:00
128,128,Chicken Ranch,2017-06-14 10:45:59,San Francisco,Islais St,chicken_ranch@aol.com,0498-127118,12:00,20:00
129,129,Hotel Worthy,2017-06-14 11:14:17,New York,W 60th St,hotel_worthy@aol.com,0498-745816,12:00,20:00
130,130,Connecticut Society Of Civil Engineers,2017-06-14 20:02:46,San Francisco,Mayfair Dr,connecticut_society_of_civil_engineers@yahoo.com,0494-759015,08:00,12:00
131,131,Carlton Terrace,2017-06-14 22:13:37,San Francisco,Margaret Ave,carlton_terrace@mail.com,0498-628910,08:00,12:00
132,132,Karl Ratzschs,2017-06-15 05:52:19,San Francisco,Manor Dr,karl_ratzschs@hotmail.com,0498-457437,12:00,23:00
133,133,The Guaranty Club,2017-06-15 07:41:58,San Francisco,Nevada St,the_guaranty_club@yahoo.com,0495-732270,12:00,23:00
134,134,The Upholstey And Allied Trades,2017-06-15 21:28:30,San Francisco,Ashwood Ln,the_upholstey_and_allied_trades@yahoo.com,0499-348306,12:00,23:00
135,135,Joe Coluccis Puccini Restaurant,2017-06-16 01:07:11,San Francisco,Avenue C,joe_coluccis_puccini_restaurant@aol.com,0498-592335,13:00,23:00
136,136,Brasserie Dalsace,2017-06-16 03:47:37,San Francisco,Doublerock St,brasserie_dalsace@mail.com,0495-312358,12:00,23:00
137,137,Rubinstein Club,2017-06-16 11:58:24,New York,Morningside Dr,rubinstein_club@gmail.com,0495-178975,12:00,20:00
138,138,Park Lane,2017-06-16 13:15:22,New York,3rd Pl,park_lane@aol.com,0498-053394,12:00,23:00
139,139,Jacob Reiss,2017-06-17 09:32:29,New York,59th St Bridge,jacob_reiss@aol.com,0494-056519,13:00,23:00
140,140,"Norfolk And Western Railway, Southern Railway System",2017-06-19 23:50:29,San Francisco,Melba Ave,"norfolk_and_western_railway,_southern_railway_system@hotmail.com",0494-616661,08:00,21:00
141,141,Hotel New Weston,2017-06-20 09:43:26,San Francisco,Harper St,hotel_new_weston@yahoo.com,0495-938854,08:00,21:00
142,142,Princess Hotel,2017-06-20 18:14:07,San Francisco,Beaver St,princess_hotel@aol.com,0495-221082,08:00,12:00
143,143,Stockeld Park,2017-06-21 19:19:09,New York,W 157th St,stockeld_park@hotmail.com,0499-188589,08:00,12:00
144,144,Municipal Art Society,2017-06-22 07:40:39,San Francisco,Lloyd St,municipal_art_society@inbox.com,0499-650581,12:00,23:00
145,145,Cocoanut Grove,2017-06-23 07:36:09,New York,Pearl St,cocoanut_grove@inbox.com,0494-400826,12:00,23:00
146,146,Kalils Restaurant,2017-06-23 20:19:52,New York,Randalls Is Rd,kalils_restaurant@gmail.com,0495-409004,08:00,12:00
147,147,International Railway Congress,2017-06-24 03:16:30,San Francisco,Cabrillo St,international_railway_congress@hotmail.com,0494-344541,12:00,23:00
148,148,Nippon Yusen Kaisha   S.S.Kobe Liaru,2017-06-27 01:11:37,New York,Tiemann Pl,nippon_yusen_kaisha___sskobe_liaru@aol.com,0496-749513,13:00,23:00
149,149,Union Pacific  Railroad,2017-06-28 16:26:33,San Francisco,Faxon Ave,union_pacific__railroad@inbox.com,0495-218313,12:00,23:00
150,150,The Waldorf Astoria Hotel,2017-06-28 21:44:04,New York,Cannon St,the_waldorf_astoria_hotel@inbox.com,0494-929274,13:00,23:00
151,151,Chateau Frontenac Hotel,2017-06-29 06:06:02,New York,Jones Alley,chateau_frontenac_hotel@hotmail.com,0499-824348,13:00,23:00
152,152,Savoy Grill,2017-06-30 05:43:11,New York,Wall St,savoy_grill@yahoo.com,0497-606598,08:00,12:00
153,153,Eastern Hotel,2017-06-30 11:41:05,New York,Hay Rd,eastern_hotel@gmail.com,0495-942778,12:00,23:00
154,154,Veteran Association Of The 5th Ny Artillery Volunteers,2017-07-01 03:13:22,San Francisco,Spreckels Lake Dr,veteran_association_of_the_5th_ny_artillery_volunteers@mail.com,0494-819100,13:00,23:00
155,155,Mayer,2017-07-01 06:22:51,New York,S Street Viaduct,mayer@inbox.com,0495-219710,12:00,20:00
156,156,Volks Restaurant,2017-07-01 12:47:03,New York,Fort Washington Ave,volks_restaurant@outlook.com,0496-818382,08:00,12:00
157,157,Dewitt Clinton Council No.22 R&S M,2017-07-02 08:48:29,New York,W 144th St,dewitt_clinton_council_no22_r&s_m@gmail.com,0495-500960,08:00,21:00
158,158,The Radisson Hotels,2017-07-02 19:11:06,New York,W 143rd St,the_radisson_hotels@inbox.com,0494-801377,08:00,21:00
159,159,Restaurant Faberhof,2017-07-03 13:43:56,San Francisco,Avenue M,restaurant_faberhof@outlook.com,0494-730473,12:00,23:00
160,160,Us Military Academy,2017-07-05 19:32:29,New York,E 58th St,us_military_academy@gmail.com,0495-544104,12:00,20:00
161,161,Hotel Empire,2017-07-06 20:49:29,San Francisco,Upton St,hotel_empire@yahoo.com,0497-936628,08:00,12:00
162,162,Associates Of The Enginer Corps And Company K,2017-07-07 05:10:32,San Francisco,Winn Way - Golden Gate National Recreation Area,associates_of_the_enginer_corps_and_company_k@gmail.com,0495-143410,12:00,23:00
163,163,The Streamliner,2017-07-07 10:37:10,San Francisco,Carl St,the_streamliner@gmail.com,0495-160486,12:00,23:00
164,164,Brooklyn Democratic Club,2017-07-07 17:51:51,San Francisco,Urbano Dr,brooklyn_democratic_club@yahoo.com,0496-931729,12:00,23:00
165,165,Norge Hotel,2017-07-08 09:19:18,New York,Thompson St,norge_hotel@inbox.com,0495-617859,08:00,21:00
166,166,Assembly,2017-07-10 07:40:11,New York,Elk St,assembly@gmail.com,0494-892101,12:00,23:00
167,167,Florida Postmasters Association,2017-07-10 11:42:24,San Francisco,Folsom St,florida_postmasters_association@gmail.com,0499-468400,08:00,21:00
168,168,New York Library Club,2017-07-11 06:41:40,San Francisco,Bartlett St,new_york_library_club@mail.com,0496-516225,08:00,21:00
169,169,New England Delegation Of H.M.M.B.A.,2017-07-12 16:18:55,San Francisco,Middle Point Rd,new_england_delegation_of_hmmba@mail.com,0499-644955,12:00,20:00
170,170,Grill Car,2017-07-13 20:29:39,San Francisco,Lunado Ct,grill_car@outlook.com,0494-323846,08:00,12:00
171,171,Century Club?,2017-07-14 05:42:14,San Francisco,Edith St,century_club?@inbox.com,0498-662968,12:00,23:00
172,172,Oceanic Steamship Company   Ventura,2017-07-14 22:16:08,San Francisco,Lulu Alley,oceanic_steamship_company___ventura@aol.com,0498-620530,08:00,21:00
173,173,Park Lane,2017-07-15 06:19:41,New York,W 42nd St,park_lane@outlook.com,0497-612011,08:00,12:00
174,174,"Complimentary Banquet, Mount Nelson Hotel Cape Town, S.A.",2017-07-16 06:51:09,New York,E 91st St,"complimentary_banquet,_mount_nelson_hotel_cape_town,_sa@outlook.com",0495-873566,13:00,23:00
175,175,Harry Voilers Trocadero Restaurant,2017-07-16 13:28:09,San Francisco,Heritage,harry_voilers_trocadero_restaurant@inbox.com,0498-227782,08:00,12:00
176,176,Royal York Hotel,2017-07-17 14:10:00,New York,Gramercy Park W,royal_york_hotel@yahoo.com,0499-519605,12:00,23:00
177,177,Rotisserie De La Table Du Roy (Le Chef Georges),2017-07-18 11:13:48,New York,Minetta St,rotisserie_de_la_table_du_roy_(le_chef_georges)@outlook.com,0497-312894,12:00,23:00
178,178,League Building,2017-07-18 21:43:08,New York,W 22nd St,league_building@mail.com,0494-973550,13:00,23:00
179,179,Cincinnati Lodge Of Elks No. 5,2017-07-18 23:55:09,San Francisco,Arballo Dr,cincinnati_lodge_of_elks_no_5@yahoo.com,0497-397787,12:00,20:00
180,180,Unione Panettieri Italiani,2017-07-21 08:41:54,New York,Nagle Ave,unione_panettieri_italiani@yahoo.com,0497-511141,13:00,23:00
181,181,Delta Kappa Epsilon Fraternity,2017-07-24 04:58:09,New York,Escanaba Rd,delta_kappa_epsilon_fraternity@aol.com,0494-762373,13:00,23:00
182,182,The National Arts Club,2017-07-25 01:03:25,New York,Macdougal St,the_national_arts_club@mail.com,0495-640880,13:00,23:00
183,183,Yale Alumni Association,2017-07-26 08:00:41,San Francisco,Italy Ave,yale_alumni_association@mail.com,0498-591241,12:00,23:00
184,184,Neuman & Bogdonoff,2017-07-26 08:51:21,New York,W 102nd St,neuman_&_bogdonoff@gmail.com,0495-494828,12:00,23:00
185,185,Bevan House,2017-07-26 16:12:09,San Francisco,Hubbell St,bevan_house@hotmail.com,0498-318834,08:00,12:00
186,186,The Guaranty Club,2017-07-28 18:54:14,San Francisco,Blanche St,the_guaranty_club@gmail.com,0498-243008,12:00,20:00
187,187,The Astor,2017-07-30 04:56:21,New York,Lincoln Center Plaza,the_astor@outlook.com,0498-833471,13:00,23:00
188,188,Steinbergs Dairy,2017-08-01 05:18:08,San Francisco,Cresta Vista Dr,steinbergs_dairy@hotmail.com,0499-107536,13:00,23:00
189,189,Paul Clemann,2017-08-02 09:01:36,San Francisco,Dale Pl,paul_clemann@yahoo.com,0498-742579,13:00,23:00
190,190,Old Prague Restaurant,2017-08-06 12:10:55,New York,E 52nd St,old_prague_restaurant@mail.com,0496-342584,08:00,21:00
191,191,Hotel Gloria,2017-08-07 01:12:47,New York,Pell St,hotel_gloria@inbox.com,0499-713286,12:00,23:00
192,192,Harrys Bar,2017-08-07 13:00:55,San Francisco,Marine Dr,harrys_bar@aol.com,0494-616328,12:00,23:00
